Product name,Product link,Product cost,Product amount,Notes
ESP32 DevKitV1,https://www.aliexpress.us/item/3256809960927549.html,$5.79,1,
MAX98357A i2s audio amplifier,https://www.aliexpress.us/item/3256806817487911.html,$4.53,1,
3W 4Ohm speaker,https://www.aliexpress.us/item/3256809207290559.html,$3.46,1,
1x7 pin headers,https://nl.aliexpress.com/item/4001198421663.html,$0.18,1,Link leads to listing with 10 pieces available only. Price specified per unit; it is $1.79 to buy 10 pcs.
1x15 pin headers,https://nl.aliexpress.com/item/4001198421663.html,$0.21,2,Link leads to listing with 10 pieces available only. Price specified per unit; it is $2.14 to buy 10 pcs.
TP4056 power supply module,https://www.aliexpress.us/item/3256806796593467.html,$1.77,1,
1P2T switch,https://www.aliexpress.us/item/3256809760123375.html,$0.10,1,Link leads to listing with 20 pieces available only. Price specified per unit; it is $2.00 to buy 20 pcs.
800 mAh lithium-ion battery,https://www.aliexpress.us/item/3256809268727485.html,$5.90,1,
